official_name,region_level,authority_namespace,authority_key,status,source_url,retrieved_at
대한민국,national,scope-national,KR,verified,https://www.code.go.kr/,2026-07-11T00:00:00Z
서울특별시,sido,mois-admin,11,verified,https://www.code.go.kr/,2026-07-11T00:00:00Z
부산광역시,sido,mois-admin,26,verified,https://www.code.go.kr/,2026-07-11T00:00:00Z
대구광역시,sido,mois-admin,27,verified,https://www.code.go.kr/,2026-07-11T00:00:00Z
인천광역시,sido,mois-admin,28,verified,https://www.code.go.kr/,2026-07-11T00:00:00Z
광주광역시,sido,mois-admin,29,verified,https://www.code.go.kr/,2026-07-11T00:00:00Z
대전광역시,sido,mois-admin,30,verified,https://www.code.go.kr/,2026-07-11T00:00:00Z
울산광역시,sido,mois-admin,31,verified,https://www.code.go.kr/,2026-07-11T00:00:00Z
세종특별자치시,sido,mois-admin,36,verified,https://www.code.go.kr/,2026-07-11T00:00:00Z
경기도,sido,mois-admin,41,verified,https://www.code.go.kr/,2026-07-11T00:00:00Z
강원특별자치도,sido,mois-admin,42,verified,https://www.code.go.kr/,2026-07-11T00:00:00Z
충청북도,sido,mois-admin,43,verified,https://www.code.go.kr/,2026-07-11T00:00:00Z
충청남도,sido,mois-admin,44,verified,https://www.code.go.kr/,2026-07-11T00:00:00Z
전북특별자치도,sido,mois-admin,45,verified,https://www.code.go.kr/,2026-07-11T00:00:00Z
전라남도,sido,mois-admin,46,verified,https://www.code.go.kr/,2026-07-11T00:00:00Z
경상북도,sido,mois-admin,47,verified,https://www.code.go.kr/,2026-07-11T00:00:00Z
경상남도,sido,mois-admin,48,verified,https://www.code.go.kr/,2026-07-11T00:00:00Z
제주특별자치도,sido,mois-admin,49,verified,https://www.code.go.kr/,2026-07-11T00:00:00Z
